wavelength-um            Radiance-case1           Radiance-case2           Radiance-case3           
3.598198198198198305e+00 6.246776008673264613e+01 1.867335734378970301e+03 2.503721736913806126e+03
3.612012012012012274e+00 6.309220972620408219e+01 1.862022814892967290e+03 2.493440587770362981e+03
3.625825825825826243e+00 6.391395207416957902e+01 1.856437728796986448e+03 2.485648584109627336e+03
3.639639639639639768e+00 6.457747826484677489e+01 1.848453604219986119e+03 2.477233993024968186e+03
3.653453453453453736e+00 6.513652498025692239e+01 1.841458961920787260e+03 2.441935546204164893e+03
3.667267267267267705e+00 6.602258509250681584e+01 1.835730545606864325e+03 2.410276604062587921e+03
3.681081081081081230e+00 6.677396367242016595e+01 1.827020246126956408e+03 2.411320567011606727e+03
3.694894894894895199e+00 6.753380826611211774e+01 1.820505313903189744e+03 2.391333137000542592e+03
3.708708708708709167e+00 6.798212613391390846e+01 1.813288172017763372e+03 2.372006308557294687e+03
3.722522522522522692e+00 6.866720176385270236e+01 1.807508039439291451e+03 2.336454221668043374e+03
3.736336336336336661e+00 6.960181268982762504e+01 1.799532746335719821e+03 2.326652523599022970e+03
3.750150150150150630e+00 7.013561283667235102e+01 1.792553821149508622e+03 2.307026848608638375e+03
3.763963963963964154e+00 7.067425162204605726e+01 1.785519577688740583e+03 2.308636789178312483e+03
3.777777777777778123e+00 7.149105464147221767e+01 1.778434060307541358e+03 2.266266448471418698e+03
3.791591591591592092e+00 7.187007512914270535e+01 1.771330874519776899e+03 2.254100084574242373e+03
3.805405405405405617e+00 7.284424987662555395e+01 1.765049243969750478e+03 2.246403504413578958e+03
3.819219219219219585e+00 7.320547220877698180e+01 1.757285309179283331e+03 2.230986526798365048e+03
3.833033033033033554e+00 7.394195040450379963e+01 1.749705988986120474e+03 2.194979167912247249e+03
3.846846846846847079e+00 7.461284943662091962e+01 1.742100690965228750e+03 2.177587928988822568e+03
3.860660660660661048e+00 7.522203014636299656e+01 1.734868767949641779e+03 2.173429686442105776e+03
3.874474474474475016e+00 7.589105028164415501e+01 1.728801499561856417e+03 2.146846062017109034e+03
3.888288288288288541e+00 7.668705169721864934e+01 1.720865668731938058e+03 2.145362449257857406e+03
3.902102102102102510e+00 7.726464846581052370e+01 1.713209737013684389e+03 2.135793085608887850e+03
3.915915915915916035e+00 7.778004199429813070e+01 1.705252350321981794e+03 2.110203899239932980e+03
3.929729729729730003e+00 7.846435499893217980e+01 1.698878488280754482e+03 2.100769841746341626e+03
3.943543543543543972e+00 7.910967080663260731e+01 1.690675939556826052e+03 2.094717927873952704e+03
3.957357357357357497e+00 7.969231497157805677e+01 1.684126686041483936e+03 2.079675428873887086e+03
3.971171171171171466e+00 8.035391639308413403e+01 1.675782840003341335e+03 2.059295853528680709e+03
3.984984984984985434e+00 8.087726527072226190e+01 1.668721480097248786e+03 2.038871978525688291e+03
3.998798798798798959e+00 8.128927146387110270e+01 1.661643747091872683e+03 1.996710992189467561e+03
4.012612612612612928e+00 8.195232324684775449e+01 1.654491503465098958e+03 1.985831420300196214e+03
4.026426426426426453e+00 8.282593217424171428e+01 1.646817224985933535e+03 1.982547060742299664e+03
4.040240240240239977e+00 8.334587144383277746e+01 1.638753373606813739e+03 1.968603314563663616e+03
4.054054054054054390e+00 8.386997245096473819e+01 1.630988061760007668e+03 1.943076986562482944e+03
4.067867867867867915e+00 8.444332707628865364e+01 1.624292345407894800e+03 1.926838473917916190e+03
4.081681681681681439e+00 8.512709356841820352e+01 1.617209404002430574e+03 1.920656907503547245e+03
4.095495495495495852e+00 8.560869015322208497e+01 1.608329266460899362e+03 1.906318552315997522e+03
4.109309309309309377e+00 8.607729172682911667e+01 1.601690326825838383e+03 1.884994060242207752e+03
4.123123123123122902e+00 8.663723358787731854e+01 1.594552841575724642e+03 1.875614654592271336e+03
4.136936936936937315e+00 8.729605426737975904e+01 1.586566619676481423e+03 1.859810946599691761e+03
4.150750750750750839e+00 8.778648085833285108e+01 1.579726309766542499e+03 1.856881503948375439e+03
